frb_name,ra,dec
190907.J08+46,08:09,+46:16
FRB20180814A,04:22,+73:40
FRB20180908B,12:32,+74:12
FRB20180916B,01:58,+65:44
FRB20181017A,17:05,+68:17
FRB20181030B,10:54,+73:44
FRB20181119A,12:42,+65:08
FRB20181128A,04:56,+63:23
FRB20190116B,12:49,+27:09
FRB20190117A,22:07,+17:23
FRB20190208A,18:55,+46:58
FRB20190209A,09:37,+77:40
FRB20190212A,18:24,+81:26
FRB20190213A,02:14,+20:04
FRB20190222A,20:52,+69:50
FRB20190303A,13:53,+48:15
FRB20190417A,19:39,+59:24
FRB20190604A,14:35,+53:17
FRB191108,01:33:47,+31:51:30
FRB121102,05:32:09,33:05:13
FRB141113,06:13:00.1,18:47:11.2
FRB170107,11:23.3,-05:00
FRB170416,22:13,-55:02
FRB170428,21:47,-41:51
FRB170707,02:59,-57:16
FRB170712,22:36,-60:57
FRB170906,21:59.8,-19:57
FRB171003,12:29.5,-14:07
FRB171004,11:57.6,-11:54
FRB171019,22:17.5,-08:40
FRB171020,22:15,-19:40
FRB171116,03:31.0,-17:14
FRB171213,03:39,-10:56
FRB171216,03:28,-57:04
FRB180110,21:53.0,-35:27
FRB180119,03:29.3,-12:44
FRB180128.0,13:56,-06:43
FRB180128.2,22:22,-60:15
FRB180130,21:52.2,-38:34
FRB180131,21:49.9,-40:41
FRB180212,14:21,-03:35
FRB180315,19:35,-26:50
FRB180324,06:16,-34:47
FRB180417,12:24:56,+14:13
FRB180430,06:51,-09:57
FRB180515,23:13:12,-42:14:46
FRB180525,14:40,-02:12
FRB180924,21:44:25.255,-40:54:00.1
FRB181112,21:49:23.630,-52:58:15.39
FRB190102,21:29:39.76,-79:28:32.5
FRB190608,22:16:04.75,-07:53:53.6
FRB190611,21:22:58.91,-79:23:51.3
FRB190711,21:57:40.68,-80:21:28.8
FRB180725.J0613+67,06:13,+67:04
FRB180727.J1311+26,13:11,+26:26
FRB180729.J0558+56,05:58,+56:30
FRB180729.J1316+55,13:16,+55:32
FRB180730.J0353+87,03:53,+87:12
FRB180801.J2130+72,21:30,+72:43
FRB180806.J1515+75,15:15,+75:38
FRB180810.J0646+34,06:46,+34:52
FRB180810.J1159+83,11:59,+83:07
FRB180812.J0112+80,01:12,+80:47
FRB180817.J1533+42,15:33,+42:12
FRB190523,13:48:15.6,+72:28:11
FRB181123,05:06:06.76,18:09:35.7
FRB110523,21:45:12,-00:09:37
FRB20200125A,14:36:31.580,+07:42:06.84
FRB010125,19:06:53,-40:37:14
FRB010312,05:26:54.9,-64:56:19.2
FRB010621,18:52:05,-08:29:35
FRB010724,01:18:06,-75:12:18
FRB090625,03:07:47,-29:55:36
FRB110214,01:21:17,-49:47:11
FRB110220,22:34:38,-12:23:45
FRB110626,21:03:43,-44:44:19
FRB110703,23:30:51,-02:52:24
FRB120127,23:15:06,-18:25:38
FRB121002,18:14:47,-85:11:53
FRB130626,16:27:06,-07:27:48
FRB130628,09:03:02,03:26:16
FRB130729,13:41:21,-05:59:43
FRB131104,06:44:10,-51:16:40
FRB140514,22:34:06,-12:18:46
FRB150215,18:17:27,-04:54:15
FRB150418,07:16:35,-19:00:40
FRB150610,10:44:26,-40:05:23
FRB150807,22:42:31,-55:04:42
FRB151206,19:21:25,-04:07:54
FRB151230,09:40:50,-03:27:05
FRB160102,22:38:49,-30:10:50
FRB171209,15:50:25,-46:10:20
FRB180309,21:24:43.8,-33:58:44.5
FRB180311,21:31:33.42,-57:44:26.7
FRB180714,17:46:12,-11:45:47
FRB010305,04:57:19.5,-52:36:24.668
FRB121029,00:12:00,+42:03:36
FRB131030,00:25:00,+39:58:48
FRB140212,01:31:00,+30:32:24
FRB141216,00:14:00,+41:38:24
FRB151018,05:21:00,33:06:00
FRB151125,01:31:00,+30:58:48
FRB160206,01:01:00,+41:37:48
FRB160920,05:34:00,41:45:00
FRB161202,23:44:00,+40:48:00
FRB170606,05:34:00,41:45:00
FRB180321,00:33:00,+42:01:48
FRB160317,07:53:47,-29:36:31
FRB160410,08:41:25,06:05:05
FRB160608,07:36:42,-40:47:52
FRB170827,00:49:18.66,-65:33:02.3
FRB170922,21:29:50.61,-07:59:40.49
FRB180528,06:38:49.80,-49:53:59
FRB181016,15:46:20.84,-25:24:32.6
FRB181228,06:09:23.64,-45:58:02.4
FRB20190614D,04:20:18.13,+73:42:24.3
